flag;this;depth;left;right;objects;volume
[DBG] ;0x13a1180;13;0;0;8;0
[DBG] ;0x13a10a0;12;0x13a13b0;0x13a1420;0;0
[DBG] ;0x13a13b0;13;0x13a1490;0x13a1500;0;0
[DBG] ;0x13a1490;14;0x13a1570;0x13a15e0;0;0
[DBG] ;0x13a1570;15;0;0;14;0.00205981
[DBG] ;0x13a15e0;15;0;0;8;-0.00205981
[DBG] ;0x13a1500;14;0;0;6;0
[DBG] ;0x13a1420;13;0;0;7;0
[DBG] ;0x13a0fc0;11;0;0;4;0
[DBG] ;0x13a0ee0;10;0;0;8;0
[DBG] ;0x13a0e00;9;0x13a1650;0x13a16c0;0;0.100565
[DBG] ;0x13a1650;10;0x13a1790;0x13a1800;0;0.0965422
[DBG] ;0x13a1790;11;0x13a1870;0x13a18e0;0;0.0762175
[DBG] ;0x13a1870;12;0x13a19b0;0x13a1a20;0;0.00205981
[DBG] ;0x13a19b0;13;0x13a1a90;0x13a1b00;0;0.00205981
[DBG] ;0x13a1a90;14;0x13a1b70;0x13a1be0;0;0.00205981
[DBG] ;0x13a1b70;15;0;0;14;0.00205981
[DBG] ;0x13a1be0;15;0;0;8;0
[DBG] ;0x13a1b00;14;0;0;2;0
[DBG] ;0x13a1a20;13;0;0;5;0
[DBG] ;0x13a18e0;12;0x13a1cf0;0x13a1d60;0;0.0741577
[DBG] ;0x13a1cf0;13;0x13a1f70;0x13a1fe0;0;0.0849725
[DBG] ;0x13a1f70;14;0x13a2050;0x13a20c0;0;0.0896931
[DBG] ;0x13a2050;15;0;0;18;0.0448469
[DBG] ;0x13a20c0;15;0;0;5;0.0448463
[DBG] ;0x13a1fe0;14;0;0;0;-0.00472063
[DBG] ;0x13a1d60;13;0;0;6;-0.0108148
[DBG] ;0x13a1800;11;0;0;7;0.0203247
[DBG] ;0x13a16c0;10;0x13a21b0;0x13a2220;0;0.00402259
[DBG] ;0x13a21b0;11;0x13a2290;0x13a2300;0;0.00359916
[DBG] ;0x13a2290;12;0x13a23f0;0x13a2460;0;0.00184823
[DBG] ;0x13a23f0;13;0x13a2570;0x13a25e0;0;0.00646885
[DBG] ;0x13a2570;14;0x13a2650;0x13a26c0;0;0.00646885
[DBG] ;0x13a2650;15;0;0;14;0.00646885
[DBG] ;0x13a26c0;15;0;0;5;0
[DBG] ;0x13a25e0;14;0;0;0;0
[DBG] ;0x13a2460;13;0;0;6;-0.00462063
[DBG] ;0x13a2300;12;0;0;8;0.00175093
[DBG] ;0x13a2220;11;0;0;2;0.000423431
[DBG] ;0x13a0d20;8;0;0;5;0
[DBG] ;0x13a0c40;7;0x13a2790;0x13a2800;0;0
[DBG] ;0x13a2790;8;0;0;5;0
[DBG] ;0x13a2800;8;0x13a28d0;0x13a2940;0;0
[DBG] ;0x13a28d0;9;0x13a2a30;0x13a2aa0;0;0
[DBG] ;0x13a2a30;10;0x13a2b70;0x13a2be0;0;0.00675927
[DBG] ;0x13a2b70;11;0x13a2c50;0x13a2cc0;0;0.00598678
[DBG] ;0x13a2c50;12;0x13a2dd0;0x13a2e40;0;0.00598678
[DBG] ;0x13a2dd0;13;0x13a2f50;0x13a2fc0;0;0.00598678
[DBG] ;0x13a2f50;14;0x13a3030;0x13a30a0;0;0.00598678
[DBG] ;0x13a3030;15;0;0;11;0.00598678
[DBG] ;0x13a30a0;15;0;0;5;0
[DBG] ;0x13a2fc0;14;0;0;0;0
[DBG] ;0x13a2e40;13;0;0;6;0
[DBG] ;0x13a2cc0;12;0;0;5;0
[DBG] ;0x13a2be0;11;0;0;1;0.000772488
[DBG] ;0x13a2aa0;10;0;0;7;-0.00675927
[DBG] ;0x13a2940;9;0;0;9;0
[DBG] ;0x139eda0;5;0;0;9;-0.0119209
[DBG] ;0x139ecc0;4;0x13a31d0;0x13a3240;0;1.31786
[DBG] ;0x13a31d0;5;0x13a5330;0x13a53a0;0;1.36578
[DBG] ;0x13a5330;6;0x13a5630;0x13a56a0;0;0.8741
[DBG] ;0x13a5630;7;0x13a5710;0x13a5780;0;0.356598
[DBG] ;0x13a5710;8;0x13a57f0;0x13a5860;0;0.356598
[DBG] ;0x13a57f0;9;0x13a58d0;0x13a5940;0;0.356598
[DBG] ;0x13a58d0;10;0x13a59b0;0x13a5a20;0;0.356598
[DBG] ;0x13a59b0;11;0x13a5a90;0x13a5b00;0;0.356598
[DBG] ;0x13a5a90;12;0x13a5b70;0x13a5be0;0;0.356598
[DBG] ;0x13a5b70;13;0x13a5c50;0x13a5cc0;0;0.356598
[DBG] ;0x13a5c50;14;0x13a5d30;0x13a5da0;0;0.356598
[DBG] ;0x13a5d30;15;0;0;67;0.356598
[DBG] ;0x13a5da0;15;0;0;22;0
[DBG] ;0x13a5cc0;14;0;0;4;0
[DBG] ;0x13a5be0;13;0;0;4;0
